player_id,name,role,country,base_price,status,sold_price,image_url,total_runs,strike_rate,wickets,economy_rate
1,Wanindu Hasaranga,"ALL_ROUNDER",Sri Lanka,100000,UNSOLD,NULL,https://media.gettyimages.com/id/2155432491/photo/sri-lanka-portraits-icc-mens-t20-cricket-world-cup-west-indies-usa-2024.jpg?s=1024x1024&w=gi&k=20&c=z42LGFKXVfrQInHcP3EZohx7UdE0CIgNx630eQwVE8c=,1677,146.67,163,8.95
2,Babar Azam,"BATSMAN",Pakistan,120000,UNSOLD,NULL,https://st3.cricketcountry.com/wp-content/uploads/2024/02/Babar-Azam-1.jpg,7231,147.09,8,9.02
3,David Miller,"BATSMAN",South Africa,110000,UNSOLD,NULL,https://c.cricketpakistan.com.pk/images/posts/cover_1719902690jbb.jpg,4362,151.41,3,7.26
4,Shakib Al Hasan,"ALL_ROUNDER",Bangladesh,100000,UNSOLD,NULL,https://cricketaddictor.com/images/2024/ShakibT20WC.webp?q=80,4939,130.71,51,8.62
5,Dasun Shanaka,"ALL_ROUNDER",Sri Lanka,80000,UNSOLD,NULL,https://adaderanaenglish.s3.amazonaws.com/1654970667-Dasun-Shanaka-Sri-Lanka-Australia-3rd-T20-match-in-Pallekele-L.jpg,3094,139.15,134,7.65
6,Pathum Nissanka,"BATSMAN",Sri Lanka,70000,UNSOLD,NULL,https://srilankacricket.lk/storage/2024/02/Pathum-Nissanka-100-runs_VAK_2360-E-1.jpg,8169,146.16,6,8.62
7,Charith Asalanka,"BATSMAN",Sri Lanka,65000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAfNwV7s5j3_5OSwmdNJXCzsGzScAPcaUyFQ&s,7418,141.70,6,10.00
8,Kusal Perera,"WICKET_KEEPER",Sri Lanka,75000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ906TogmtkHWKHB_FaOfsOjsYnvXEGwb0fWQ&s,4961,137.14,0,0
9,Kusal Mendis,"WICKET_KEEPER",Sri Lanka,75000,UNSOLD,NULL,https://srilankacricket.lk/storage/2025/07/Copy-of-Kusal-Mendis-50-Runs_VK92157-2.jpg,5138,134.17,0,0
10,Angelo Mathews,"ALL_ROUNDER",Sri Lanka,50000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREs-vn-KHOklS5B-XwtEw4ulWz3Q9RStqY_w&s,4022,148.38,194,7.71
11,Dhananjaya de Silva,"ALL_ROUNDER",Sri Lanka,60000,UNSOLD,NULL,https://i0.wp.com/crictoday.com/wp-content/uploads/2023/06/1638468643_dd.jpg?fit=1200%2C675&ssl=1,3233,143.77,66,7.62
12,Maheesh Theekshana,"BOWLER",Sri Lanka,80000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe7nOQTyH9CPusnq07LgzN5alWt51KnIQ3zg&s,577,92.39,178,7.17
13,Matheesha Pathirana,"BOWLER",Sri Lanka,75000,UNSOLD,NULL,https://www.newswire.lk/wp-content/uploads/2024/05/Screenshot_20240505_161339_Facebook.jpg,284,91.21,333,8.01
14,Dilshan Madushanka,"BOWLER",Sri Lanka,65000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4sEm6pMOrm9H1_4XqKlpztWv7soPQCEA1Ew&s,178,116.58,363,8.44
15,Dushmantha Chameera,"BOWLER",Sri Lanka,70000,UNSOLD,NULL,https://www.thepapare.com/wp-content/uploads/Dushmantha-Chameera-52-1.jpg,525,117.64,196,6.80
16,Kasun Rajitha,"BOWLER",Sri Lanka,50000,UNSOLD,NULL,https://srilankacricket.lk/storage/2022/12/Copy-of-Kasun-Rajitha-celebrates_LPL1832-1.jpg,389,102.04,246,7.05
17,Chamika Karunaratne,"ALL_ROUNDER",Sri Lanka,55000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTi3UTPMVtZ0tYwGGANj8UKl9M82GE4Pvrvw&s,2365,140.21,85,7.96
18,Avishka Fernando,"BATSMAN",Sri Lanka,60000,UNSOLD,NULL,https://srilankacricket.lk/storage/2023/07/Avishka-fernando-for-Sri-Lanka-A-Team-vs-Bangladesh-A-at-SSC.jpg,5462,122.05,9,7.10
19,Sadeera Samarawickrama,"WICKET_KEEPER",Sri Lanka,55000,UNSOLD,NULL,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/358200/358285.6.jpg,5369,138.65,0,0
20,Dunith Wellalage,"ALL_ROUNDER",Sri Lanka,40000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRzsR8LJzJ5hwxMVoSB_1z2SdLuhrus59pZA&s,2328,145.63,141,7.44
21,Bhanuka Rajapaksa,"BATSMAN",Sri Lanka,55000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhUYirSBxdkuwFXL_P8l-ZV5yRDoyb_Oo_bg&s,4189,139.39,3,9.19
22,Nuwan Thushara,"BOWLER",Sri Lanka,45000,UNSOLD,NULL,https://i0.wp.com/crictoday.com/wp-content/uploads/2024/01/quint-hindi_2023-12_2da1129a-1cea-4bf4-a161-618d90d44dc8_Snapinsta_app_408237553_1049613866160793_2637854266655863173_n_1080-1.webp?fit=1200%2C676&ssl=1,420,89.28,294,7.75
23,Akila Dananjaya,"BOWLER",Sri Lanka,40000,UNSOLD,NULL,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/292800/292858.9.jpg,216,91.21,337,8.44
24,Isuru Udana,"ALL_ROUNDER",Sri Lanka,45000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA2GIs6ujxU5cOZAkBO3CGJyIEqVRSqJudUg&s,3887,134.45,169,7.11
25,Dinesh Chandimal,"WICKET_KEEPER",Sri Lanka,45000,UNSOLD,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_800,q_50/lsci/db/PICTURES/CMS/388000/388040.6.jpg",5256,143.07,0,0
26,Lahiru Kumara,"BOWLER",Sri Lanka,50000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp41_9m8-SwlG802b_aIJaCxiTpwmCaUorgw&s,300,118.82,298,6.24
27,Binura Fernando,"BOWLER",Sri Lanka,45000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRbBzruYYmtEIxeH6ip_oe9zxEdb8I5HPQIQ&s,362,88.98,376,7.99
28,Pramod Madushan,"BOWLER",Sri Lanka,40000,UNSOLD,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_480,q_50/esci/media/motion/2022/1101/dm_221101_NET_CRIC_t20wc_sl-change_maruti_global/dm_221101_NET_CRIC_t20wc_sl-change_maruti_global.jpg",405,85.69,241,6.87
29,Jeffrey Vandersay,"BOWLER",Sri Lanka,40000,UNSOLD,NULL,https://www.sacricketmag.com/wp-content/uploads/2024/08/Jeffrey-Vandersay-4-Aug-2024-@OfficialSLC.jpg,517,84.26,385,7.24
30,Ramesh Mendis,"ALL_ROUNDER",Sri Lanka,40000,UNSOLD,NULL,https://srilankacricket.lk/storage/2023/02/Ramesh-Mendis-4.jpg,1294,133.48,67,8.55
31,Fakhar Zaman,"BATSMAN",Pakistan,85000,UNSOLD,NULL,https://e0.365dm.com/18/08/2048x1152/skysports-pakistan-fakhar-zaman_4398479.jpg?20180823100252,2427,131.44,10,9.86
32,Iftikhar Ahmed,"BATSMAN",Pakistan,60000,UNSOLD,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3b36X9xZfm5RRmv1x3yMQXNdw9VTssnJNyg&s,6240,128.89,3,9.38
